edge_id,width,density,average_speed
-159992082#0,3.5,0.0,0.0
-159992082#1,3.5,0.0,0.0
-159992082#2,3.5,0.0,0.0
-171934808#0,3.5,0.0,0.0
-171934808#1,3.5,0.0,0.0
-171934808#2,3.5,0.0,0.0
-171934808#3,3.5,0.0,0.0
-171934808#4,3.5,0.0,0.0
-171934808#5,3.5,0.0,0.0
-171934810#0,3.5,0.0,0.0
-171934810#1,3.5,0.0,0.0
-211674507#0,3.5,0.0,0.0
-211674507#1,3.5,0.0,0.0
-211674507#2,3.5,0.0,0.0
-211674507#3,3.5,0.0,0.0
-211674507#4,3.5,0.0,0.0
-211674507#5,3.5,0.0,0.0
-211674510,3.5,0.0,0.0
-211674512#0,3.5,0.0,0.0
-211674512#1,3.5,0.0,0.0
-211674513#0,3.5,0.0,0.0
-211674513#1,3.5,0.0,0.0
-25885524,3.5,0.0,0.0
-260923013#0,3.5,0.0,0.0
-260923013#1,3.5,0.0,0.0
-30283192#0,3.5,0.0,0.0
-30283192#1,3.5,0.0,0.0
-30283192#2,3.5,0.0,0.0
-30283193#0,3.5,0.0,0.0
-30283193#1,3.5,0.0,0.0
-30710884#0,3.5,0.0,0.0
-30710884#1,3.5,0.0,0.0
-30710884#2,3.5,1.0,6.916504858937352
-30710884#3,3.5,0.0,0.0
-30710886#0,3.5,0.0,0.0
-30710886#1,3.5,0.0,0.0
-30710886#2,3.5,0.0,0.0
-33636008,3.5,0.0,0.0
-342271339#0,3.5,0.0,0.0
-342271339#1,3.5,0.0,0.0
-37035107#0,3.5,0.0,0.0
-37035107#1,3.5,0.0,0.0
-370715408#0,3.5,0.0,0.0
-370715408#1,3.5,0.0,0.0
-370715408#2,3.5,0.0,0.0
-370715408#3,3.5,0.0,0.0
-371146251,3.5,0.0,0.0
-371146256,3.5,0.0,0.0
-371146258,3.5,0.0,0.0
-371146261#0,3.5,0.0,0.0
-371146261#1,3.5,0.0,0.0
-371146261#10,3.5,0.0,0.0
-371146261#11,3.5,0.0,0.0
-371146261#12,3.5,0.0,0.0
-371146261#13,3.5,0.0,0.0
-371146261#14,3.5,0.0,0.0
-371146261#15,3.5,0.0,0.0
-371146261#16,3.5,0.0,0.0
-371146261#2,3.5,0.0,0.0
-371146261#3,3.5,0.0,0.0
-371146261#4,3.5,0.0,0.0
-371146261#5,3.5,0.0,0.0
-371146261#6,3.5,0.0,0.0
-371146261#7,3.5,0.0,0.0
-371146261#8,3.5,0.0,0.0
-371146261#9,3.5,0.0,0.0
-371146267,3.5,0.0,0.0
-382211677,3.5,0.0,0.0
-382211678,3.5,0.0,0.0
-382211679,3.5,0.0,0.0
-395869969,3.5,0.0,0.0
-4218501#0,3.5,0.0,0.0
-4218501#1,3.5,0.0,0.0
-4218501#2,3.5,0.0,0.0
-4221183#0,3.5,0.0,0.0
-4221183#1,3.5,0.0,0.0
-4221188,3.5,0.0,0.0
-438648463,3.5,0.0,0.0
-438652661,3.5,0.0,0.0
-439038669,3.5,0.0,0.0
-454115423#0,3.5,0.0,0.0
-454115423#1,3.5,0.0,0.0
-454115423#2,3.5,0.0,0.0
-454115423#3,3.5,0.0,0.0
-4693899#0,3.5,0.0,0.0
-4693899#1,3.5,0.0,0.0
-474600186#0,3.5,0.0,0.0
-474600186#1,3.5,0.0,0.0
-474600186#2,3.5,0.0,0.0
-474600186#3,3.5,0.0,0.0
-474600186#4,3.5,0.0,0.0
-474600186#5,3.5,0.0,0.0
-474600186#6,3.5,0.0,0.0
-474600186#7,3.5,0.0,0.0
-4756576#0,3.5,0.0,0.0
-4756576#1,3.5,0.0,0.0
-4778286#0,3.5,0.0,0.0
-4778286#1,3.5,0.0,0.0
-4778286#2,3.5,0.0,0.0
-4824572,3.5,0.0,0.0
-4824695#0,3.5,0.0,0.0
-4824695#1,3.5,0.0,0.0
-4824695#2,3.5,0.0,0.0
-4824695#3,3.5,0.0,0.0
-4824698#0,3.5,0.0,0.0
-4824698#1,3.5,0.0,0.0
-4824702#0,3.5,0.0,0.0
-4824702#1,3.5,0.0,0.0
-4824702#2,3.5,0.0,0.0
-4824704#0,3.5,0.0,0.0
-4824704#1,3.5,0.0,0.0
-4824704#10,3.5,0.0,0.0
-4824704#2,3.5,0.0,0.0
-4824704#3,3.5,0.0,0.0
-4824704#4,3.5,0.0,0.0
