vehicle_id,speed,time_from_spawn,color,type
0,6.82017772635026,114.0,-1#-1#0#-1,car
11,0.9679224833391912,103.0,-1#-1#0#-1,car
1,5.001473518464322,113.0,-1#-1#0#-1,car
2,0.0,112.0,-1#-1#0#-1,car
3,14.996800473008092,111.0,-1#-1#0#-1,car
4,8.569105628282555,110.0,-1#-1#0#-1,car
5,6.1831499999999995,109.0,-1#-1#0#-1,car
6,10.974918940721297,108.0,-1#-1#0#-1,car
7,8.636099998304966,107.0,-1#-1#0#-1,car
8,7.227421001270408,106.0,-1#-1#0#-1,car
9,4.939999999999998,105.0,-1#-1#0#-1,car
10,3.16304814324628,104.0,-1#-1#0#-1,car
